equation,operand_1,operation,operand_2,answer
456-341=115,456,-,341,115
208+541=749,208,+,541,749
694+709=1403,694,+,709,1403
363-253=110,363,-,253,110
423-19=404,423,-,19,404
808+79=887,808,+,79,887
568-550=18,568,-,550,18
13+165=178,13,+,165,178
788-575=213,788,-,575,213
370-80=290,370,-,80,290
813+861=1674,813,+,861,1674
767+591=1358,767,+,591,1358
404+759=1163,404,+,759,1163
116-76=40,116,-,76,40
568+474=1042,568,+,474,1042
534+598=1132,534,+,598,1132
423+88=511,423,+,88,511
892-383=509,892,-,383,509
300+849=1149,300,+,849,1149
862-853=9,862,-,853,9
789+576=1365,789,+,576,1365
824+143=967,824,+,143,967
649+499=1148,649,+,499,1148
557+42=599,557,+,42,599
266+402=668,266,+,402,668
615-467=148,615,-,467,148
920-693=227,920,-,693,227
947+283=1230,947,+,283,1230
565+845=1410,565,+,845,1410
25+47=72,25,+,47,72
136+215=351,136,+,215,351
577+523=1100,577,+,523,1100
691-34=657,691,-,34,657
669-593=76,669,-,593,76
379+49=428,379,+,49,428
191+932=1123,191,+,932,1123
888-831=57,888,-,831,57
177+724=901,177,+,724,901
898-540=358,898,-,540,358
410+881=1291,410,+,881,1291
299+132=431,299,+,132,431
684+201=885,684,+,201,885
638-609=29,638,-,609,29
451+660=1111,451,+,660,1111
710-41=669,710,-,41,669
827-537=290,827,-,537,290
76-46=30,76,-,46,30
469-383=86,469,-,383,86
473-440=33,473,-,440,33
487-49=438,487,-,49,438
318-214=104,318,-,214,104
297+807=1104,297,+,807,1104
864+578=1442,864,+,578,1442
923+931=1854,923,+,931,1854
844+497=1341,844,+,497,1341
1+13=14,1,+,13,14
667+876=1543,667,+,876,1543
825-586=239,825,-,586,239
615-436=179,615,-,436,179
518+687=1205,518,+,687,1205
579+628=1207,579,+,628,1207
812+845=1657,812,+,845,1657
695+825=1520,695,+,825,1520
835-747=88,835,-,747,88
246+284=530,246,+,284,530
922-484=438,922,-,484,438
801+818=1619,801,+,818,1619
185-49=136,185,-,49,136
99+773=872,99,+,773,872
641-331=310,641,-,331,310
431+248=679,431,+,248,679
605+101=706,605,+,101,706
505-494=11,505,-,494,11
439-341=98,439,-,341,98
15+82=97,15,+,82,97
186+735=921,186,+,735,921
961-372=589,961,-,372,589
767+607=1374,767,+,607,1374
687+954=1641,687,+,954,1641
711-78=633,711,-,78,633
340+179=519,340,+,179,519
779-771=8,779,-,771,8
776+575=1351,776,+,575,1351
85+240=325,85,+,240,325
944-300=644,944,-,300,644
388-341=47,388,-,341,47
741-294=447,741,-,294,447
621-515=106,621,-,515,106
918-312=606,918,-,312,606
714+174=888,714,+,174,888
329-146=183,329,-,146,183
368-106=262,368,-,106,262
35+343=378,35,+,343,378
351-14=337,351,-,14,337
169+348=517,169,+,348,517
842+564=1406,842,+,564,1406
582-10=572,582,-,10,572
578+762=1340,578,+,762,1340
574-366=208,574,-,366,208
436+306=742,436,+,306,742
51+256=307,51,+,256,307
131-122=9,131,-,122,9
760-644=116,760,-,644,116
477-475=2,477,-,475,2
221+746=967,221,+,746,967
192+430=622,192,+,430,622
632-544=88,632,-,544,88
739-2=737,739,-,2,737
678-304=374,678,-,304,374
871+544=1415,871,+,544,1415
661+331=992,661,+,331,992
275-267=8,275,-,267,8
852-650=202,852,-,650,202
282-120=162,282,-,120,162
38+4=42,38,+,4,42
755+186=941,755,+,186,941
944-81=863,944,-,81,863
129+992=1121,129,+,992,1121
358-352=6,358,-,352,6
789+823=1612,789,+,823,1612
976-275=701,976,-,275,701
975-740=235,975,-,740,235
935-883=52,935,-,883,52
825+507=1332,825,+,507,1332
156+546=702,156,+,546,702
421-25=396,421,-,25,396
38+52=90,38,+,52,90
24+969=993,24,+,969,993
87+6=93,87,+,6,93
532+341=873,532,+,341,873
731-466=265,731,-,466,265
568+393=961,568,+,393,961
481+855=1336,481,+,855,1336
615-177=438,615,-,177,438
942+619=1561,942,+,619,1561
415+896=1311,415,+,896,1311
551+83=634,551,+,83,634
717+958=1675,717,+,958,1675
623+420=1043,623,+,420,1043
831-710=121,831,-,710,121
133+976=1109,133,+,976,1109
45+0=45,45,+,0,45
905-655=250,905,-,655,250
259+791=1050,259,+,791,1050
195-119=76,195,-,119,76
678-675=3,678,-,675,3
719-397=322,719,-,397,322
624-619=5,624,-,619,5
821-414=407,821,-,414,407
554-8=546,554,-,8,546
853+394=1247,853,+,394,1247
783-664=119,783,-,664,119
61+619=680,61,+,619,680
233+417=650,233,+,417,650
342+953=1295,342,+,953,1295
889+213=1102,889,+,213,1102
864+546=1410,864,+,546,1410
830-703=127,830,-,703,127
84-77=7,84,-,77,7
481+612=1093,481,+,612,1093
856-524=332,856,-,524,332
377-370=7,377,-,370,7
585-52=533,585,-,52,533
938+291=1229,938,+,291,1229
666+9=675,666,+,9,675
231-138=93,231,-,138,93
748-630=118,748,-,630,118
936-930=6,936,-,930,6
444+749=1193,444,+,749,1193
354-73=281,354,-,73,281
109+179=288,109,+,179,288
313-278=35,313,-,278,35
636-229=407,636,-,229,407
635+376=1011,635,+,376,1011
760-755=5,760,-,755,5
141+164=305,141,+,164,305
318+487=805,318,+,487,805
974-965=9,974,-,965,9
29+762=791,29,+,762,791
852-764=88,852,-,764,88
539+566=1105,539,+,566,1105
372-101=271,372,-,101,271
569-567=2,569,-,567,2
96-94=2,96,-,94,2
404+836=1240,404,+,836,1240
570-568=2,570,-,568,2
548+936=1484,548,+,936,1484
957-916=41,957,-,916,41
372-82=290,372,-,82,290
516-427=89,516,-,427,89
227+853=1080,227,+,853,1080
579-482=97,579,-,482,97
771-336=435,771,-,336,435
0+98=98,0,+,98,98
792-645=147,792,-,645,147
494-41=453,494,-,41,453
529+315=844,529,+,315,844
680-294=386,680,-,294,386
255-51=204,255,-,51,204
335-334=1,335,-,334,1
923-922=1,923,-,922,1
713+651=1364,713,+,651,1364
703-691=12,703,-,691,12
274-265=9,274,-,265,9
627-331=296,627,-,331,296
547+476=1023,547,+,476,1023
124+712=836,124,+,712,836
822+513=1335,822,+,513,1335
933-869=64,933,-,869,64
54+718=772,54,+,718,772
377-351=26,377,-,351,26
137+923=1060,137,+,923,1060
236-43=193,236,-,43,193
912-278=634,912,-,278,634
958-403=555,958,-,403,555
547-546=1,547,-,546,1
48-35=13,48,-,35,13
779-429=350,779,-,429,350
135-94=41,135,-,94,41
7+42=49,7,+,42,49
250-161=89,250,-,161,89
865-268=597,865,-,268,597
612+466=1078,612,+,466,1078
243-236=7,243,-,236,7
965-526=439,965,-,526,439
989-774=215,989,-,774,215
698-233=465,698,-,233,465
868+546=1414,868,+,546,1414
726-689=37,726,-,689,37
944-182=762,944,-,182,762
235+387=622,235,+,387,622
501-484=17,501,-,484,17
988+477=1465,988,+,477,1465
106-100=6,106,-,100,6
310+999=1309,310,+,999,1309
485-322=163,485,-,322,163
930-111=819,930,-,111,819
52+42=94,52,+,42,94
310-262=48,310,-,262,48
631+194=825,631,+,194,825
751+521=1272,751,+,521,1272
411+702=1113,411,+,702,1113
188+259=447,188,+,259,447
346+691=1037,346,+,691,1037
742+587=1329,742,+,587,1329
859+576=1435,859,+,576,1435
874-268=606,874,-,268,606
205+14=219,205,+,14,219
44+5=49,44,+,5,49
799+478=1277,799,+,478,1277
914-606=308,914,-,606,308
805+829=1634,805,+,829,1634
1+91=92,1,+,91,92
723-720=3,723,-,720,3
257+365=622,257,+,365,622
694+633=1327,694,+,633,1327
861-417=444,861,-,417,444
430+754=1184,430,+,754,1184
924+546=1470,924,+,546,1470
987-676=311,987,-,676,311
455+390=845,455,+,390,845
932-84=848,932,-,84,848
843-594=249,843,-,594,249
944+286=1230,944,+,286,1230
6+45=51,6,+,45,51
771-696=75,771,-,696,75
362-7=355,362,-,7,355
867-136=731,867,-,136,731
724-92=632,724,-,92,632
860-243=617,860,-,243,617
553-201=352,553,-,201,352
816-143=673,816,-,143,673
382-28=354,382,-,28,354
367-364=3,367,-,364,3
947-298=649,947,-,298,649
251+218=469,251,+,218,469
103-40=63,103,-,40,63
952-818=134,952,-,818,134
944+2=946,944,+,2,946
877-228=649,877,-,228,649
32+38=70,32,+,38,70
127+473=600,127,+,473,600
673+5=678,673,+,5,678
960-774=186,960,-,774,186
191+273=464,191,+,273,464
155+96=251,155,+,96,251
705-529=176,705,-,529,176
98+950=1048,98,+,950,1048
738+742=1480,738,+,742,1480
944+405=1349,944,+,405,1349
578+459=1037,578,+,459,1037
693+749=1442,693,+,749,1442
474+281=755,474,+,281,755
496-224=272,496,-,224,272
467-96=371,467,-,96,371
858-700=158,858,-,700,158
623-32=591,623,-,32,591
950-894=56,950,-,894,56
799-429=370,799,-,429,370
648-619=29,648,-,619,29
511-213=298,511,-,213,298
145+968=1113,145,+,968,1113
310-303=7,310,-,303,7
914-433=481,914,-,433,481
918-166=752,918,-,166,752
722-658=64,722,-,658,64
412+93=505,412,+,93,505
551-467=84,551,-,467,84
408-379=29,408,-,379,29
57+80=137,57,+,80,137
811-477=334,811,-,477,334
13+49=62,13,+,49,62
369+282=651,369,+,282,651
12+609=621,12,+,609,621
794+275=1069,794,+,275,1069
804-27=777,804,-,27,777
108+546=654,108,+,546,654
875-659=216,875,-,659,216
41+27=68,41,+,27,68
599+135=734,599,+,135,734
378-23=355,378,-,23,355
618-286=332,618,-,286,332
251+74=325,251,+,74,325
665+844=1509,665,+,844,1509
914+276=1190,914,+,276,1190
800-294=506,800,-,294,506
380-301=79,380,-,301,79
35+56=91,35,+,56,91
785+471=1256,785,+,471,1256
767+88=855,767,+,88,855
616-608=8,616,-,608,8
729+260=989,729,+,260,989
930-873=57,930,-,873,57
657+254=911,657,+,254,911
338+578=916,338,+,578,916
820-173=647,820,-,173,647
932-602=330,932,-,602,330
957-360=597,957,-,360,597
816+273=1089,816,+,273,1089
800-646=154,800,-,646,154
555-307=248,555,-,307,248
133+780=913,133,+,780,913
46+341=387,46,+,341,387
615-48=567,615,-,48,567
284+582=866,284,+,582,866
252+228=480,252,+,228,480
804-758=46,804,-,758,46
393-385=8,393,-,385,8
41+204=245,41,+,204,245
829-711=118,829,-,711,118
501+173=674,501,+,173,674
548-343=205,548,-,343,205
296-283=13,296,-,283,13
911+846=1757,911,+,846,1757
404+42=446,404,+,42,446
498-401=97,498,-,401,97
415+633=1048,415,+,633,1048
751+3=754,751,+,3,754
152+28=180,152,+,28,180
767-742=25,767,-,742,25
255-195=60,255,-,195,60
303-272=31,303,-,272,31
130-97=33,130,-,97,33
541+222=763,541,+,222,763
576+347=923,576,+,347,923
379-221=158,379,-,221,158
456+138=594,456,+,138,594
694+742=1436,694,+,742,1436
627-619=8,627,-,619,8
44+209=253,44,+,209,253
306-291=15,306,-,291,15
724-572=152,724,-,572,152
73+18=91,73,+,18,91
804-725=79,804,-,725,79
482-273=209,482,-,273,209
616+76=692,616,+,76,692
383+251=634,383,+,251,634
424-394=30,424,-,394,30
652-614=38,652,-,614,38
266+777=1043,266,+,777,1043
742-533=209,742,-,533,209
840-349=491,840,-,349,491
798-709=89,798,-,709,89
807-88=719,807,-,88,719
431-70=361,431,-,70,361
766-734=32,766,-,734,32
891-501=390,891,-,501,390
583-577=6,583,-,577,6
686+954=1640,686,+,954,1640
602-439=163,602,-,439,163
759-753=6,759,-,753,6
83-79=4,83,-,79,4
843-664=179,843,-,664,179
424+179=603,424,+,179,603
454-374=80,454,-,374,80
119-118=1,119,-,118,1
796+241=1037,796,+,241,1037
650-228=422,650,-,228,422
188-187=1,188,-,187,1
518-302=216,518,-,302,216
716+62=778,716,+,62,778
371-69=302,371,-,69,302
715-565=150,715,-,565,150
316-313=3,316,-,313,3
359+891=1250,359,+,891,1250
223+208=431,223,+,208,431
630-342=288,630,-,342,288
459-397=62,459,-,397,62
453+951=1404,453,+,951,1404
182+746=928,182,+,746,928
393-150=243,393,-,150,243
999-190=809,999,-,190,809
753-51=702,753,-,51,702
420+97=517,420,+,97,517
895-146=749,895,-,146,749
851+275=1126,851,+,275,1126
314-285=29,314,-,285,29
37+550=587,37,+,550,587
942-446=496,942,-,446,496
431+517=948,431,+,517,948
311+114=425,311,+,114,425
977-367=610,977,-,367,610
867-72=795,867,-,72,795
594-367=227,594,-,367,227
930-495=435,930,-,495,435
69+361=430,69,+,361,430
9+991=1000,9,+,991,1000
495-111=384,495,-,111,384
703-89=614,703,-,89,614
307+981=1288,307,+,981,1288
32+15=47,32,+,15,47
915+31=946,915,+,31,946
942+89=1031,942,+,89,1031
10+254=264,10,+,254,264
149+436=585,149,+,436,585
942-38=904,942,-,38,904
507+451=958,507,+,451,958
198-146=52,198,-,146,52
369+565=934,369,+,565,934
15+981=996,15,+,981,996
567-511=56,567,-,511,56
930-207=723,930,-,207,723
53+207=260,53,+,207,260
106-98=8,106,-,98,8
418+260=678,418,+,260,678
569+524=1093,569,+,524,1093
618+647=1265,618,+,647,1265
980+175=1155,980,+,175,1155
445+325=770,445,+,325,770
64-61=3,64,-,61,3
544-352=192,544,-,352,192
731+62=793,731,+,62,793
408-400=8,408,-,400,8
561+408=969,561,+,408,969
874-815=59,874,-,815,59
617-500=117,617,-,500,117
929+967=1896,929,+,967,1896
765-511=254,765,-,511,254
189-24=165,189,-,24,165
543+136=679,543,+,136,679
60+18=78,60,+,18,78
909+944=1853,909,+,944,1853
559+1=560,559,+,1,560
322-168=154,322,-,168,154
562+741=1303,562,+,741,1303
410-230=180,410,-,230,180
883-874=9,883,-,874,9
490+667=1157,490,+,667,1157
148+648=796,148,+,648,796
361+780=1141,361,+,780,1141
836+332=1168,836,+,332,1168
171+556=727,171,+,556,727
4+69=73,4,+,69,73
473-111=362,473,-,111,362
115+893=1008,115,+,893,1008
79+80=159,79,+,80,159
922-156=766,922,-,156,766
74+1=75,74,+,1,75
798+967=1765,798,+,967,1765
1+24=25,1,+,24,25
847-833=14,847,-,833,14
238+862=1100,238,+,862,1100
780-750=30,780,-,750,30
13+40=53,13,+,40,53
958-919=39,958,-,919,39
390-145=245,390,-,145,245
799+746=1545,799,+,746,1545
502+178=680,502,+,178,680
619-588=31,619,-,588,31
1+78=79,1,+,78,79
132-54=78,132,-,54,78
151+902=1053,151,+,902,1053
750+124=874,750,+,124,874
900-267=633,900,-,267,633
946+39=985,946,+,39,985
494-339=155,494,-,339,155
414+578=992,414,+,578,992
865-156=709,865,-,156,709
233+601=834,233,+,601,834
66+0=66,66,+,0,66
930+736=1666,930,+,736,1666
881-849=32,881,-,849,32
881+993=1874,881,+,993,1874
845-332=513,845,-,332,513
966+728=1694,966,+,728,1694
780-154=626,780,-,154,626
517+682=1199,517,+,682,1199
462+281=743,462,+,281,743
571-562=9,571,-,562,9
77+3=80,77,+,3,80
458-382=76,458,-,382,76
415-86=329,415,-,86,329
561+224=785,561,+,224,785
51+6=57,51,+,6,57
448-73=375,448,-,73,375
856-665=191,856,-,665,191
770-724=46,770,-,724,46
769-697=72,769,-,697,72
755-124=631,755,-,124,631
902-812=90,902,-,812,90
669+250=919,669,+,250,919
233+441=674,233,+,441,674
49+577=626,49,+,577,626
459+152=611,459,+,152,611
614+799=1413,614,+,799,1413
635-309=326,635,-,309,326
68-61=7,68,-,61,7
816+228=1044,816,+,228,1044
820-341=479,820,-,341,479
540+640=1180,540,+,640,1180
549-236=313,549,-,236,313
691+812=1503,691,+,812,1503
771+776=1547,771,+,776,1547
991-225=766,991,-,225,766
114+701=815,114,+,701,815
522+820=1342,522,+,820,1342
452-435=17,452,-,435,17
869-649=220,869,-,649,220
712+671=1383,712,+,671,1383
821-820=1,821,-,820,1
7+607=614,7,+,607,614
367-189=178,367,-,189,178
442+749=1191,442,+,749,1191
8+365=373,8,+,365,373
738-275=463,738,-,275,463
933-780=153,933,-,780,153
563+83=646,563,+,83,646
499-440=59,499,-,440,59
969+484=1453,969,+,484,1453
65-52=13,65,-,52,13
163+210=373,163,+,210,373
570+952=1522,570,+,952,1522
688-670=18,688,-,670,18
610-592=18,610,-,592,18
542+210=752,542,+,210,752
767+219=986,767,+,219,986
678+331=1009,678,+,331,1009
570+287=857,570,+,287,857
292+812=1104,292,+,812,1104
675+301=976,675,+,301,976
964+853=1817,964,+,853,1817
731-560=171,731,-,560,171
301-296=5,301,-,296,5
683-172=511,683,-,172,511
60+440=500,60,+,440,500
249-203=46,249,-,203,46
635+272=907,635,+,272,907
294+95=389,294,+,95,389
624+916=1540,624,+,916,1540
606-427=179,606,-,427,179
195+818=1013,195,+,818,1013
17+27=44,17,+,27,44
996-994=2,996,-,994,2
626-618=8,626,-,618,8
990+913=1903,990,+,913,1903
955+928=1883,955,+,928,1883
540-444=96,540,-,444,96
737+937=1674,737,+,937,1674
852+929=1781,852,+,929,1781
989-899=90,989,-,899,90
875-400=475,875,-,400,475
567+348=915,567,+,348,915
437+154=591,437,+,154,591
470-464=6,470,-,464,6
675+705=1380,675,+,705,1380
835-701=134,835,-,701,134
738-609=129,738,-,609,129
81+154=235,81,+,154,235
400-397=3,400,-,397,3
748-359=389,748,-,359,389
825-685=140,825,-,685,140
694-568=126,694,-,568,126
547+655=1202,547,+,655,1202
357-274=83,357,-,274,83
933-871=62,933,-,871,62
603-324=279,603,-,324,279
61+7=68,61,+,7,68
915+20=935,915,+,20,935
784-373=411,784,-,373,411
155+840=995,155,+,840,995
812-167=645,812,-,167,645
479+929=1408,479,+,929,1408
670-430=240,670,-,430,240
591+839=1430,591,+,839,1430
798+352=1150,798,+,352,1150
547-478=69,547,-,478,69
183+76=259,183,+,76,259
800+234=1034,800,+,234,1034
463+3=466,463,+,3,466
188-182=6,188,-,182,6
585-256=329,585,-,256,329
728+947=1675,728,+,947,1675
771-90=681,771,-,90,681
746-535=211,746,-,535,211
834-474=360,834,-,474,360
915+785=1700,915,+,785,1700
877-247=630,877,-,247,630
238-172=66,238,-,172,66
701+389=1090,701,+,389,1090
59+398=457,59,+,398,457
633-33=600,633,-,33,600
745-684=61,745,-,684,61
661+513=1174,661,+,513,1174
25+11=36,25,+,11,36
263-31=232,263,-,31,232
145+365=510,145,+,365,510
505+441=946,505,+,441,946
17+203=220,17,+,203,220
678+160=838,678,+,160,838
17+10=27,17,+,10,27
225+675=900,225,+,675,900
665-282=383,665,-,282,383
70+29=99,70,+,29,99
221+68=289,221,+,68,289
430-122=308,430,-,122,308
715-706=9,715,-,706,9
822-170=652,822,-,170,652
452-193=259,452,-,193,259
647-582=65,647,-,582,65
6+49=55,6,+,49,55
922-402=520,922,-,402,520
763-759=4,763,-,759,4
525-50=475,525,-,50,475
123-121=2,123,-,121,2
287+275=562,287,+,275,562
960-715=245,960,-,715,245
910+143=1053,910,+,143,1053
668-594=74,668,-,594,74
430-213=217,430,-,213,217
79+18=97,79,+,18,97
447-389=58,447,-,389,58
673-261=412,673,-,261,412
912-847=65,912,-,847,65
154+674=828,154,+,674,828
247-237=10,247,-,237,10
611-12=599,611,-,12,599
224+492=716,224,+,492,716
492+830=1322,492,+,830,1322
353+964=1317,353,+,964,1317
754-673=81,754,-,673,81
666-625=41,666,-,625,41
788-74=714,788,-,74,714
290-153=137,290,-,153,137
825-593=232,825,-,593,232
980+585=1565,980,+,585,1565
374+463=837,374,+,463,837
966-17=949,966,-,17,949
676-390=286,676,-,390,286
185-177=8,185,-,177,8
300-238=62,300,-,238,62
48+28=76,48,+,28,76
741+553=1294,741,+,553,1294
780-699=81,780,-,699,81
113+312=425,113,+,312,425
340-78=262,340,-,78,262
477-379=98,477,-,379,98
726+534=1260,726,+,534,1260
440-405=35,440,-,405,35
740+615=1355,740,+,615,1355
509-71=438,509,-,71,438
968+278=1246,968,+,278,1246
189-181=8,189,-,181,8
514+561=1075,514,+,561,1075
607+60=667,607,+,60,667
725+51=776,725,+,51,776
928-446=482,928,-,446,482
944-943=1,944,-,943,1
648-485=163,648,-,485,163
88+506=594,88,+,506,594
291+11=302,291,+,11,302
492-436=56,492,-,436,56
41+17=58,41,+,17,58
534-457=77,534,-,457,77
322-263=59,322,-,263,59
623+8=631,623,+,8,631
702-694=8,702,-,694,8
397+188=585,397,+,188,585
627-464=163,627,-,464,163
738+642=1380,738,+,642,1380
941-553=388,941,-,553,388
387-387=0,387,-,387,0
968+899=1867,968,+,899,1867
426-222=204,426,-,222,204
37+24=61,37,+,24,61
267-204=63,267,-,204,63
713-252=461,713,-,252,461
571+792=1363,571,+,792,1363
100-71=29,100,-,71,29
23+53=76,23,+,53,76
759-287=472,759,-,287,472
706+288=994,706,+,288,994
556-22=534,556,-,22,534
723-632=91,723,-,632,91
0+8=8,0,+,8,8
572+378=950,572,+,378,950
821-147=674,821,-,147,674
936-410=526,936,-,410,526
900-221=679,900,-,221,679
57+502=559,57,+,502,559
591+654=1245,591,+,654,1245
681-481=200,681,-,481,200
452+608=1060,452,+,608,1060
513-278=235,513,-,278,235
67+575=642,67,+,575,642
553-548=5,553,-,548,5
315-271=44,315,-,271,44
93+177=270,93,+,177,270
465+603=1068,465,+,603,1068
861-300=561,861,-,300,561
55-3=52,55,-,3,52
943+106=1049,943,+,106,1049
40+7=47,40,+,7,47
297-246=51,297,-,246,51
30+37=67,30,+,37,67
935+910=1845,935,+,910,1845
995+289=1284,995,+,289,1284
561-547=14,561,-,547,14
356-245=111,356,-,245,111
504+740=1244,504,+,740,1244
363-267=96,363,-,267,96
835-53=782,835,-,53,782
974-107=867,974,-,107,867
659+80=739,659,+,80,739
69+315=384,69,+,315,384
7+53=60,7,+,53,60
129-46=83,129,-,46,83
29+8=37,29,+,8,37
642-67=575,642,-,67,575
975-940=35,975,-,940,35
372+514=886,372,+,514,886
92-54=38,92,-,54,38
680-646=34,680,-,646,34
784+357=1141,784,+,357,1141
736-383=353,736,-,383,353
999-303=696,999,-,303,696
340-195=145,340,-,195,145
338+365=703,338,+,365,703
474+635=1109,474,+,635,1109
